"","sub","item","cond","nstarted","ncompleted","nboundary","problem","flags_equal"
"583",8,54,5,13,13,13,"no","yes"
"584",8,66,1,16,16,16,"no","yes"
"585",8,77,4,17,17,17,"no","yes"
"586",8,15,6,13,13,13,"no","yes"
"587",8,35,2,16,16,16,"no","yes"
"588",8,34,1,15,15,15,"no","yes"
"589",8,75,2,13,13,13,"no","yes"
"590",8,27,2,14,14,14,"no","yes"
"591",8,55,6,15,15,15,"no","yes"
"592",8,78,5,13,13,13,"no","yes"
"593",8,74,1,15,15,15,"no","yes"
"594",8,10,1,17,17,17,"no","yes"
"595",8,52,3,15,15,15,"no","yes"
"596",8,30,5,10,10,11,"no","yes"
"597",8,64,7,13,13,13,"no","yes"
"598",8,26,1,15,15,15,"no","yes"
"599",8,36,3,14,14,14,"no","yes"
"600",8,80,7,12,12,12,"no","yes"
"601",8,17,8,16,16,16,"no","yes"
"602",8,23,6,11,11,12,"no","yes"
"603",8,50,1,10,10,10,"no","yes"
"604",8,3,2,14,14,15,"no","yes"
"605",8,47,6,13,13,13,"no","yes"
"606",8,9,8,17,17,17,"no","yes"
"607",8,46,5,16,16,16,"no","yes"
"608",8,28,3,13,13,13,"no","yes"
"609",8,5,4,15,15,16,"no","yes"
"610",8,61,4,16,16,16,"no","yes"
"611",8,43,2,15,15,15,"no","yes"
"612",8,40,7,13,13,13,"no","yes"
"613",8,70,5,16,16,16,"no","yes"
"614",8,18,1,11,11,11,"no","yes"
"615",8,72,7,15,15,15,"no","yes"
"616",8,25,8,15,15,15,"no","yes"
"617",8,33,8,11,11,12,"no","yes"
"618",8,39,6,15,15,15,"no","yes"
"619",8,20,3,13,13,14,"no","yes"
"620",8,68,3,13,13,13,"no","yes"
"621",8,57,8,15,15,16,"no","yes"
"622",8,60,3,15,15,15,"no","yes"
"623",8,73,8,15,15,16,"no","yes"
"624",8,49,8,12,12,12,"no","yes"
"625",8,21,4,13,13,13,"no","yes"
"626",8,63,6,14,14,14,"no","yes"
"627",8,4,3,16,16,16,"no","yes"
"628",8,76,3,13,13,13,"no","yes"
