"","sub","item","seq","cond","nfix","deg"
"540",7,60,8,2,19,"0"
"541",7,61,78,3,10,"20"
"542",7,62,45,4,19,"0"
"543",7,63,27,5,18,"20"
"544",7,64,42,6,12,"0"
"545",7,65,40,7,10,"20"
"546",7,66,59,8,11,"0"
"547",7,67,65,1,17,"20"
"548",7,68,10,2,8,"0"
"549",7,69,39,3,6,"20"
"550",7,70,73,4,11,"0"
"551",7,71,35,5,11,"20"
"552",7,72,1,6,27,"0"
"553",7,73,33,7,10,"20"
"554",7,74,52,8,10,"0"
"555",7,75,31,1,10,"20"
"556",7,76,20,2,8,"0"
"557",7,77,79,3,9,"20"
"558",7,78,64,4,11,"0"
"559",7,79,70,5,8,"20"
"560",7,80,76,6,7,"0"
"561",8,1,18,8,15,"0"
"562",8,2,19,1,17,"20"
"563",8,3,44,2,12,"0"
"564",8,4,67,3,15,"20"
"565",8,5,49,4,13,"0"
"566",8,6,74,5,14,"20"
"567",8,7,75,6,9,"0"
"568",8,8,8,7,15,"20"
"569",8,9,46,8,17,"0"
"570",8,10,34,1,14,"20"
"571",8,11,16,2,13,"0"
"572",8,12,15,3,15,"20"
"573",8,13,80,4,10,"0"
"574",8,14,17,5,15,"20"
"575",8,15,26,6,13,"0"
"576",8,16,4,7,12,"20"
"577",8,17,41,8,15,"0"
"578",8,18,54,1,13,"20"
"579",8,19,11,2,17,"0"
"580",8,20,59,3,15,"20"
"581",8,21,65,4,12,"0"
"582",8,22,69,5,17,"20"
"583",8,23,42,6,10,"0"
"584",8,24,7,7,16,"20"
"585",8,25,56,8,12,"0"
"586",8,26,38,1,16,"20"
"587",8,27,30,2,17,"0"
"588",8,28,48,3,16,"20"
"589",8,29,5,4,19,"0"
"590",8,30,36,5,11,"20"
"591",8,31,14,6,14,"0"
"592",8,32,12,7,15,"20"
"593",8,33,57,8,13,"0"
"594",8,34,28,1,16,"20"
"595",8,35,27,2,14,"0"
"596",8,36,39,3,14,"20"
"597",8,37,21,4,11,"0"
"598",8,38,6,5,16,"20"
"599",8,39,58,6,13,"0"
"600",8,40,52,7,9,"20"
"601",8,41,77,8,11,"0"
"602",8,42,72,1,11,"20"
"603",8,43,51,2,17,"0"
"604",8,44,13,3,9,"20"
"605",8,45,78,4,10,"0"
"606",8,46,47,5,15,"20"
"607",8,47,45,6,14,"0"
"608",8,48,20,7,33,"20"
"609",8,49,64,8,13,"0"
"610",8,50,43,1,15,"20"
"611",8,51,70,2,14,"0"
"612",8,52,35,3,12,"20"
"613",8,53,1,4,24,"0"
"614",8,54,23,5,15,"20"
"615",8,55,31,6,14,"0"
"616",8,56,71,7,7,"20"
"617",8,57,61,8,12,"0"
"618",8,58,79,1,11,"20"
"619",8,59,3,2,17,"0"
"620",8,60,62,3,12,"20"
"621",8,61,50,4,21,"0"
"622",8,62,73,5,11,"20"
"623",8,63,66,6,12,"0"
"624",8,64,37,7,18,"20"
"625",8,65,76,8,15,"0"
"626",8,66,24,1,14,"20"
"627",8,67,9,2,19,"0"
"628",8,68,60,3,11,"20"
"629",8,69,2,4,14,"0"
"630",8,70,53,5,16,"20"
"631",8,71,22,6,17,"0"
"632",8,72,55,7,12,"20"
"633",8,73,63,8,14,"0"
"634",8,74,33,1,15,"20"
"635",8,75,29,2,13,"0"
"636",8,76,68,3,15,"20"
"637",8,77,25,4,21,"0"
"638",8,78,32,5,11,"20"
"639",8,79,10,6,21,"0"
"640",8,80,40,7,8,"20"
"641",9,1,68,1,12,"20"
"642",9,2,42,2,14,"0"
"643",9,3,49,3,10,"20"
"644",9,4,80,4,13,"0"
"645",9,5,61,5,14,"20"
"646",9,6,53,6,9,"0"
"647",9,7,59,7,13,"20"
"648",9,8,56,8,12,"0"
"649",9,9,79,1,17,"20"
"650",9,10,36,2,21,"0"
"651",9,11,46,3,14,"20"
"652",9,12,70,4,14,"0"
"653",9,13,37,5,14,"20"
"654",9,14,31,6,13,"0"
"655",9,15,75,7,11,"20"
"656",9,16,12,8,14,"0"
"657",9,17,35,1,15,"20"
"658",9,18,71,2,9,"0"
"659",9,19,10,3,12,"20"
"660",9,20,50,4,15,"0"
"661",9,21,77,5,9,"20"
"662",9,22,76,6,17,"0"
"663",9,23,51,7,12,"20"
"664",9,24,55,8,13,"0"
"665",9,25,9,1,13,"20"
"666",9,26,6,2,13,"0"
"667",9,27,4,3,14,"20"
"668",9,28,30,4,15,"0"
"669",9,29,78,5,14,"20"
"670",9,30,2,6,12,"0"
"671",9,31,25,7,14,"20"
"672",9,32,57,8,12,"0"
"673",9,33,58,1,8,"20"
"674",9,34,22,2,17,"0"
"675",9,35,73,3,13,"20"
"676",9,36,40,4,21,"0"
"677",9,37,19,5,14,"20"
"678",9,38,74,6,19,"0"
"679",9,39,48,7,12,"20"
"680",9,40,62,8,14,"0"
"681",9,41,20,1,21,"20"
"682",9,42,21,2,14,"0"
"683",9,43,28,3,10,"20"
"684",9,44,7,4,12,"0"
"685",9,45,72,5,12,"20"
"686",9,46,47,6,13,"0"
"687",9,47,15,7,11,"20"
"688",9,48,41,8,20,"0"
"689",9,49,17,1,15,"20"
"690",9,50,11,2,9,"0"
"691",9,51,52,3,11,"20"
"692",9,52,1,4,12,"0"
"693",9,53,5,5,21,"20"
"694",9,54,13,6,15,"0"
"695",9,55,29,7,15,"20"
"696",9,56,18,8,15,"0"
"697",9,57,24,1,12,"20"
"698",9,58,23,2,10,"0"
"699",9,59,45,3,13,"20"
"700",9,60,34,4,12,"0"
"701",9,61,63,5,15,"20"
"702",9,62,44,6,11,"0"
"703",9,63,69,7,12,"20"
"704",9,64,66,8,13,"0"
"705",9,65,38,1,16,"20"
"706",9,66,32,2,13,"0"
"707",9,67,14,3,14,"20"
"708",9,68,54,4,15,"0"
"709",9,69,39,5,18,"20"
"710",9,70,3,6,17,"0"
"711",9,71,26,7,17,"20"
"712",9,72,33,8,11,"0"
"713",9,73,8,1,17,"20"
"714",9,74,64,2,14,"0"
"715",9,75,67,3,13,"20"
"716",9,76,60,4,11,"0"
"717",9,77,65,5,12,"20"
"718",9,78,43,6,12,"0"
"719",9,79,27,7,17,"20"
"720",9,80,16,8,11,"0"
"721",10,1,70,2,10,"0"
"722",10,2,28,3,17,"20"
"723",10,3,52,4,13,"0"
"724",10,4,78,5,14,"20"
"725",10,5,75,6,12,"0"
"726",10,6,48,7,23,"20"
"727",10,7,32,8,11,"0"
"728",10,8,8,1,14,"20"
"729",10,9,54,2,15,"0"
"730",10,10,16,3,30,"20"
"731",10,11,36,4,7,"0"
"732",10,12,44,5,11,"20"
"733",10,13,74,6,9,"0"
"734",10,14,26,7,25,"20"
"735",10,15,19,8,8,"0"
"736",10,16,61,1,9,"20"
"737",10,17,46,2,11,"0"
"738",10,18,57,3,20,"20"
"739",10,19,6,4,14,"0"
"740",10,20,24,5,8,"20"
"741",10,21,56,6,11,"0"
"742",10,22,17,7,27,"20"
"743",10,23,10,8,8,"0"
"744",10,24,2,1,24,"20"
"745",10,25,18,2,12,"0"
"746",10,26,45,3,12,"20"
"747",10,27,13,4,12,"0"
"748",10,28,29,5,21,"20"
"749",10,29,42,6,13,"0"
"750",10,30,59,7,11,"20"
"751",10,31,79,8,11,"0"
"752",10,32,41,1,25,"20"
"753",10,33,69,2,9,"0"
"754",10,34,67,3,19,"20"
"755",10,35,68,4,9,"0"
"756",10,36,9,5,15,"20"
"757",10,37,20,6,13,"0"
"758",10,38,1,7,36,"20"
"759",10,39,49,8,8,"0"
"760",10,40,15,1,24,"20"
"761",10,41,23,2,11,"0"
"762",10,42,14,3,32,"20"
"763",10,43,3,4,15,"0"
"764",10,44,60,5,20,"20"
"765",10,45,80,6,7,"0"
"766",10,46,66,7,14,"20"
"767",10,47,76,8,6,"0"
"768",10,48,64,1,21,"20"
"769",10,49,31,2,10,"0"
"770",10,50,72,3,8,"20"
"771",10,51,34,4,12,"0"
"772",10,52,35,5,16,"20"
"773",10,53,47,6,16,"0"
"774",10,54,33,7,20,"20"
"775",10,55,25,8,11,"0"
"776",10,56,4,1,15,"20"
"777",10,57,40,2,13,"0"
"778",10,58,22,3,18,"20"
"779",10,59,38,4,11,"0"
"780",10,60,7,5,23,"20"
"781",10,61,63,6,10,"0"
"782",10,62,39,7,26,"20"
"783",10,63,12,8,18,"0"
"784",10,64,53,1,15,"20"
"785",10,65,5,2,17,"0"
"786",10,66,11,3,35,"20"
"787",10,67,21,4,14,"0"
"788",10,68,27,5,11,"20"
"789",10,69,77,6,10,"0"
"790",10,70,58,7,30,"20"
"791",10,71,71,8,8,"0"
"792",10,72,73,1,17,"20"
"793",10,73,55,2,9,"0"
"794",10,74,62,3,15,"20"
"795",10,75,51,4,9,"0"
"796",10,76,30,5,20,"20"
"797",10,77,37,6,10,"0"
"798",10,78,50,7,18,"20"
"799",10,79,43,8,14,"0"
"800",10,80,65,1,13,"20"
"801",11,1,8,3,10,"20"
"802",11,2,17,4,13,"0"
"803",11,3,46,5,10,"20"
"804",11,4,55,6,9,"0"
"805",11,5,52,7,13,"20"
"806",11,6,28,8,22,"0"
"807",11,7,54,1,10,"20"
"808",11,8,42,2,16,"0"
"809",11,9,57,3,15,"20"
"810",11,10,38,4,15,"0"
"811",11,11,70,5,11,"20"
"812",11,12,24,6,11,"0"
"813",11,13,1,7,18,"20"
"814",11,14,48,8,15,"0"
"815",11,15,44,1,7,"20"
"816",11,16,15,2,15,"0"
"817",11,17,7,3,14,"20"
