"","subj","cond","item","start","end","duration_ms","duration_s","deg"
"1173",6,8,59,11562461,11565330,2869,2.9,"0"
"1184",6,7,58,11569314,11572086,2772,2.8,"20"
"717",7,5,71,14473164,14476785,3621,3.6,"20"
"810",7,5,23,14485235,14488508,3273,3.3,"20"
"1018",7,6,56,14499562,14504433,4871,4.9,"0"
"1114",7,4,62,14510231,14518391,8160,8.2,"0"
"125",7,2,68,14521854,14525014,3160,3.2,"0"
"135",7,8,74,14531376,14535758,4382,4.4,"0"
"146",7,7,41,14537915,14543510,5595,5.6,"20"
"153",7,1,19,14548083,14554385,6302,6.3,"20"
"174",7,8,10,14573029,14577352,4323,4.3,"0"
"193",7,2,12,14585439,14589042,3603,3.6,"0"
"213",7,7,17,14596748,14602393,5645,5.6,"20"
"234",7,1,27,14617332,14622215,4883,4.9,"20"
"255",7,8,18,14633354,14642502,9148,9.1,"0"
"276",7,3,13,14648680,14652089,3409,3.4,"20"
"295",7,8,34,14680364,14690408,10044,10,"0"
