"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","deg","prev"
"251",5,49,5,35,1,8212223,8214458,2235,0,0,1,"20","orth"
"252",5,1,5,36,1,8251425,8254107,2682,0,0,1,"20","orth"
"253",5,31,5,37,1,8277005,8279418,2413,0,0,1,"20","orth"
"254",5,14,6,38,1,8337758,8345637,7879,1,0,0,"20","mask"
"255",5,30,4,39,1,8359883,8362168,2285,1,1,1,"20","valid"
"256",5,48,4,40,1,8367675,8370063,2388,0,0,1,"20","valid"
"257",5,54,4,41,1,8382841,8386960,4119,1,1,1,"20","valid"
"258",5,23,3,42,1,8415804,8418440,2636,0,0,1,"0","mask"
"259",5,9,1,43,1,8434946,8437637,2691,1,1,1,"0","valid"
"260",5,42,4,44,1,8445060,8450153,5093,1,1,1,"20","valid"
"261",5,20,6,45,1,8467760,8471606,3846,1,1,1,"20","mask"
"262",5,35,3,46,1,8485596,8488678,3082,0,0,1,"0","mask"
"263",5,19,5,47,1,8499184,8508210,9026,1,0,0,"20","orth"
"264",5,2,6,48,1,8515458,8519119,3661,1,1,1,"20","mask"
"265",5,46,2,49,1,8564601,8569005,4404,0,0,1,"0","orth"
"266",5,52,2,50,1,8586766,8589903,3137,1,1,1,"0","orth"
"267",5,51,1,51,1,8595809,8599013,3204,0,0,1,"0","valid"
"268",5,34,2,52,1,8611596,8616118,4522,1,1,1,"0","orth"
"269",5,32,6,53,1,8644673,8647885,3212,1,1,1,"20","mask"
"270",5,40,2,54,1,8673070,8676573,3503,0,0,1,"0","orth"
"271",6,46,3,1,1,10002029,10004564,2535,0,0,1,"0","mask"
"272",6,17,4,2,1,10018755,10021609,2854,1,1,1,"20","valid"
"273",6,34,3,3,1,10060832,10063694,2862,1,1,1,"0","mask"
"274",6,31,6,4,1,10080205,10084164,3959,0,1,0,"20","mask"
"275",6,45,2,5,1,10093667,10095612,1945,1,1,1,"0","orth"
"276",6,49,6,6,1,10100375,10102460,2085,0,0,1,"20","mask"
"277",6,29,4,7,1,10120491,10123155,2664,1,0,0,"20","valid"
"278",6,15,2,8,1,10132230,10134286,2056,1,1,1,"0","orth"
"279",6,30,5,9,1,10138701,10140854,2153,1,1,1,"20","orth"
"280",6,51,2,10,1,10155133,10157430,2297,0,0,1,"0","orth"
"281",6,47,4,11,1,10183815,10185870,2055,1,1,1,"20","valid"
"282",6,21,2,12,1,10191823,10193982,2159,1,1,1,"0","orth"
"283",6,9,2,13,1,10202829,10205381,2552,1,1,1,"0","orth"
"284",6,24,5,14,1,10210067,10212878,2811,0,0,1,"20","orth"
"285",6,12,5,15,1,10223066,10226103,3037,0,0,1,"20","orth"
"286",6,4,3,16,1,10230595,10232443,1848,0,0,1,"0","mask"
"287",6,41,4,17,1,10245635,10247639,2004,0,0,1,"20","valid"
"288",6,38,1,18,1,10252985,10255156,2171,0,0,1,"0","valid"
"289",6,11,4,19,1,10261747,10264119,2372,0,1,0,"20","valid"
"290",6,8,1,20,1,10273257,10276059,2802,0,0,1,"0","valid"
"291",6,43,6,21,1,10291775,10293753,1978,0,1,0,"20","mask"
"292",6,2,1,22,1,10297546,10300259,2713,1,0,0,"0","valid"
"293",6,33,2,23,1,10305386,10307989,2603,0,0,1,"0","orth"
"294",6,40,3,24,1,10313151,10315905,2754,0,0,1,"0","mask"
"295",6,10,3,25,1,10325204,10327749,2545,0,0,1,"0","mask"
"296",6,54,5,26,1,10338061,10340592,2531,1,1,1,"20","orth"
"297",6,13,6,27,1,10345532,10347573,2041,1,1,1,"20","mask"
"298",6,53,4,28,1,10352642,10354567,1925,0,0,1,"20","valid"
"299",6,26,1,29,1,10369859,10372209,2350,1,1,1,"0","valid"
"300",6,27,2,30,1,10380873,10383425,2552,0,0,1,"0","orth"
"301",6,52,3,31,1,10430717,10433017,2300,1,1,1,"0","mask"
"302",6,35,4,32,1,10466216,10468426,2210,0,0,1,"20","valid"
"303",6,28,3,33,1,10487116,10489186,2070,0,0,1,"0","mask"
"304",6,16,3,34,1,10497880,10499886,2006,0,0,1,"0","mask"
"305",6,42,5,35,1,10503964,10506285,2321,1,1,1,"20","orth"
"306",6,18,5,36,1,10529254,10531731,2477,0,0,1,"20","orth"
"307",6,23,4,37,1,10558329,10560360,2031,0,0,1,"20","valid"
"308",6,50,1,38,1,10565013,10567634,2621,1,1,1,"0","valid"
"309",6,7,6,39,1,10581010,10583288,2278,1,1,1,"20","mask"
"310",6,44,1,40,1,10587269,10589374,2105,1,1,1,"0","valid"
"311",6,20,1,41,1,10598231,10600290,2059,1,1,1,"0","valid"
